IP Address ,Browser,Ip Time Zone,FingerPrint Authenticity,Platform,Location,Language,Postal_Code,ISP,Proxy,Bot Detection
********,Facebook undefined,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 13.1.2,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 13.1.2,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 392.2.0.33.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 8.0.0,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 8.0.0,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  82%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 9,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 9,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Safari 15.6.1,Europe/Istanbul,Browser fingerprint authenticity:  95%,Mac OS 10.15.6,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Mac OS 10.15.6,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,GSA 236.0.484392333,Europe/Istanbul,Browser fingerprint authenticity:  90%,iOS 15.6,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",iOS 15.6,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 12,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 12,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Facebook 392.2.0.33.108,Europe/Istanbul,Browser fingerprint authenticity:  85%,Android 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Android 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
********,Chrome 107.0.0.0,Europe/Istanbul,Browser fingerprint authenticity:  92%,Windows 10,"36° 53′ 12.480″ N, 30° 41′ 38.400″ E",Windows 10,Europe/Istanbul,Turk Telekomunikasyon A.S,No,No
